FunctionalArea,StrategicPriorities,Programs,UseCase,CurrentSituation,GoalsandObjectives ,TechnologyDeployed,UseCaseSummary
Analytics & Information Management,Deriving Value from Data,Data Platform Provisioning,Workload optimized data processing,"Historically, most data processing has been accomplished with RDBMs. Given the variety, velocity, and volume of data today, the tendency to force all data types into a relational model has become untenable.","To develop a data management architecture and platform consisting of broad capabilities for transactional, behavioral, time series, spatial, and other data types.","Relational databases, NoSQL or dynamic databases, document orientated databases (XML,JSON), key-accessible databases, graph databases, scalable data connection managers (Hadoop)",A multi-database and/or multi-engine data management environment with optimized processing based on specific workloads.
Analytics & Information Management,Deriving Value from Data,Data Platform Provisioning,Analytic transactional processing,"Historically, analytic and transactional data processing has been separate, resulting in challenges for embedding intelligence into operational apps.",To provide support for mixed workloads including support of real-time insights and recommendations and intelligent enterprise applications.,"RDBMs with analytic-transactional capabilities, in-memory databases, dynamic SQL databases.",Incorporate of insights into the follow of operations to enable in-process decision support and more optimized transaction processing across applications.
Analytics & Information Management,Deriving Value from Data,Content Services,Automated content transformation,"Content-centric processes are highly manual and lack integration across functional areas and computing resources. These processes are inefficient, error-prone and insecure. Intrinsic value of content is inaccessible.","To speed up processes, reduce cost, off load low-value tasks, reduce errors, improve compliance and mitigate risk. Enable content and content-centric process analysis.","Cloud, mobile, content analytics, machine learning, task,process automation, natural language processing, OCR/ICR, eforms, esignatures, automated document generation, content,records management","Intra- and inter-business content workflow automation drives stakeholder satisfaction, improved business metrics and competitive advantage"
Analytics & Information Management,Deriving Value from Data,Content Services,Layout & design automation,"The customer experience is often inconsistent from one channel to the next and/or lacking in relevancy. In addition, layout and content transformations are time-consuming and labor-intensive.","To accelerate time to value; improve the quality of digital experiences to boost customer engagement and conversions; and improve the productivity of marketers, designers, and other stakeholders responsible for creating/delivering digital experiences.","AI-enabled template or page layout capabilities, automated tagging /metadata generation, ""smart"" cropping,other types of asset transformation","Automation the transformation and presentation of content enables organizations to move beyond ""craft"" to operationalizing digital experience delivery ? optimizing the customer experience whatever the context."
Analytics & Information Management,Deriving Value from Data,Data Monetization,DaaS business enhancement,"Current products and/or services provide little to no guidance on how they can be better used by the current consumer, and do not foster ongoing engagement. Revenue is limited to the product or service being sold, and does not incorporate potential digital and data service enhancements.","To create product and/or service extensions through DaaS offerings which would be of value, strategically and/or monetarily to current partners.","Data integration,preparation, data management, data curation, data analysis, application or interface creation","End users are more connected to a product and/or service that provides feedback on how to make better use of the original good/service. Producer can gain feedback about usage, create better user engagement and increase revenue."
Analytics & Information Management,Deriving Value from Data,Data Monetization,DaaS offering creation,"Most commercial DaaS offerings have been produced by information services industry specialists. Enterprises possess large volumes of data which could be of use to those in related or unrelated industries, yet are not currently able to monetize these assets.","To create new data products for sale. Enterprises should explore all available channels for externally monetizing data, including data marketplaces, industry clouds, as well as one-on-one second & third-party relationships.","Data integration,preparation, data management, data curation, data analysis, application or interface creation. Contracts with independent DaaS marketplaces.",Enterprise can recognize new revenue from data assets in license or sales relationships with outside parties. These new relationships are outside of their traditional industry and bring new value to the enterprise.
Customer Experience (CX),Differentiated Customer Experience,Attract and Present,Content Creation & Presentation,"Presenting the right content, at the right time, via the particular channel the customer wants to use for a particular interaction is a tremendous challenge. The explosion in the number of channels that organizations must support -- combined with real-time personalization -- dramatically increases the amount of content organizations need to create/manage/deliver and is driving the need for improved content planning/consumption analytics. ","Improve engagement across channels/increase conversion rates; reduce time to market; optimize content creation spend. Organization need to: implement a ""build, buy, borrow"" strategy to more effectively source content; leverage AI for content creation/ personalization; and utilize consumption analytics to help reduce spend on content assets that don't provide a return on investment.","Content marketing platforms (planning/ scheduling), content sourcing solutions (that extend in-house/agency resources with stock assets, social/UGC, content contracted from freelance editorial/ creative networks), Web site solutions,API-first content services, digital asset management systems, product content management solutions. ""Content AI"", the use of AI/ML to generate, transform, tag, optimize the presentation of content, is an accelerator.","Optimizing the content supply chain ? that is, streamlining the planning, creation, and delivery of content ? is core to an organization's ability to operationalize digital experience delivery and provide consistent, engaging experiences across the many channels through which customers interact with the organization /brand."
Customer Experience (CX),Differentiated Customer Experience,Attract and Present,Digital Marketing,Digital marketing infrastructures are complex and fragmented making it difficult to orchestrate customer experience from one interaction to another and to optimize investment in customer acquisition based on potential lifetime value of a prospect. ,Make the most compelling offer to every customer/prospect the fastest,"Wide range of systems for managing interactions, content, data, analytics, the business of marketing",Enable every customer interaction to enhance every other interaction in the most economical way possible.
Customer Experience (CX),Differentiated Customer Experience,Attract and Present,Opti-channel Experiences,"The harmonization of online and offline customer experiences is currently ad hoc and disjointed. Offline experiences typically trail digital experiences in a marketing context; but digital experiences are often inferior to offline experiences in customer service context - where digital (and chatbots) support, rather than replace, the in-person agent.","Enterprises need to emulate high quality digital experiences across all their offline experiences, and vice-versa so that offline and online utilize the best of both types of experiences. This requires consistent performance measures and metrics that enable meaningful comparison of digital and offline experiences. New measures need to be created to supplement NPS, CES, and CSAT across all online and offline encounters. ","IoT, AI, big data, analytics, integrated marketing / sales / service CX systems, customer journey management, mobile, GPS, in-store systems, eCommerce. ","Frictionless movement between digital and offline interactions that provide continuity. The experience should be like a train journey that will be managed end-to-end using an integrated, seamless and combined system that includes both the physical elements (train station, train guard, security gates, train) with the digital (online trains enquiry, one-touch ticketing, transactional mobile alerts, mobile promotions, CX feedback). "
Customer Experience (CX),Differentiated Customer Experience,Sell and Renew,Customer Engagement,Disaggregated customer engagement strategies results in customers being dropped or poor customer service,"Create ""Best"" experiences specific to the customer and the enterprise that are consistent and seamless","Mobile, IoT, Networking, multi-screen multi-application content distribution, interactive processes","Personalized, curated and seamless experiences across the customer journey"
Customer Experience (CX),Differentiated Customer Experience,Sell and Renew,Digital Sales and Commerce,"B2C and B2C sellers have historically focused on standing up digital commerce ""stores"" for specific digital endpoints, such as a website or mobile application. When new endpoints arise, such as Amazon Echo, Google Home, or IoT, businesses are forced to go back to the drawing board to enable commerce. This approach will only increase in the future, putting a strain on sellers' IT efforts and resulting in differentiated commerce experiences for customers across different channels.",Support transactions on all current and future customer endpoints. Lower IT costs associated with re-platforming the commerce engine. Reduce friction for customers who wish to make a purchase.,A decoupled digital commerce engine that can support any customer endpoint by leveraging a RESTful API layer. Responsive webstore design that adapts to wide ranges of endpoints.,"Regardless of future endpoints, a customer will be able to engage with the organization's product catalog and make purchases. Interface-free commerce, where customers receive personalized products and services without needing to search."
Customer Experience (CX),Differentiated Customer Experience,Sell and Renew,Order Orchestration & Fulfillment,"Customer order fulfillment planning and execution is separate from planning and execution of store allocation and replenishment orders. Inventory policies are optimized by channel, stores and online, but sub-optimized for total omni-channel service and cost objectives. Customers are dissatisfied by broken delivery date promises and/or long delivery waits due to lack of real-time enterprise visibility of inventory available-to-promise status and variability in fulfillment execution processes.","Optimally manage (buy, move, and place) inventory from suppliers to store shelves as common resource to improve in-store service levels and improve customer choice for fulfillment of on-line orders. ","Real-time SKU-level sales,receipts data",Inventory distribution planning and execution optimized holistically to concurrently improve customer order fulfillment and store inventory service levels. 
Customer Experience (CX),Differentiated Customer Experience,Service and Expand,Product Implementation,"For complex products, product implementation is long, complex, and structured process to integrate the product into existing workflows that includes hands on modifications and removal of barriers to interaction with other systems. ","Use digital technologies to better understand the customer, reduce the time and resources necessary to implement a complex product, and delivering value to the customer sooner.","AI, analytics, omni-channel, mobile, cloud, customer service applications, contact center applications","Digital investigation of customer systems, modification of products by an AI engine, and self-deployment reducing the amount of human interaction and time necessary. "
Customer Experience (CX),Differentiated Customer Experience,Service and Expand,Customer Education,"Customer education for numerous products is a small instruction booklet that comes with the product, some online videos, and a customer service number to call for questions. ","Provide a broader and more in-depth education about the product, its capabilities and uses, and tangential products that can be accessed at the customers desire while reducing the number of employees that need to be involved. ","Multi-screen multi-application content distribution, interactive processes AI, analytics, omni-channel, predictive models, avatars, customer service applications, contact center applications",ÿCustomer self-education about the product is available real-time anywhere and from any device to support the customer in deriving the highest value from the product specific to their needs.
Customer Experience (CX),Differentiated Customer Experience,Service and Expand,Customer Care & Support,Customer service and support functions have become complex silos of data and channels that results in inconsistent latency plagued experiences for customers. ,Provide a methodology for servicing interactions with appropriate level of agent/self-service to enable more rapid processing of inquiries from simple to complex.,"AI, analytics, omni-channel, predictive models, avatars, customer service applications, contact center applications","Service customers in a timely, contextual, channel independent and predictive manner to deliver differentiated service and support."
Customer Experience (CX),Differentiated Customer Experience,Build Loyalty,Customer Satisfaction Analysis,"Customer satisfaction is self-reported through the use of online surveys, but often is plagued by selection bias, survey fatigue, lack of understanding of why the customer acted, and being reactive long after the interaction. ","Provide real-time understanding of customer satisfaction before, during, and after the interaction","AI, big data, customer analytics, customer intelligence platforms, dynamic data collection, predictive models, dynamic digital assent management,content placement.",Enable real-time customer satisfaction analysis and adjust real-time customer engagement based upon satisfaction analysis to meet the customers' expectations.
Customer Experience (CX),Differentiated Customer Experience,Build Loyalty,Building & Retaining Brand Trust,"Trust is unmeasurable. New forms of partnerships and consociation use social media, messaging, company-owned collaboration, advocacy and rewards platforms are trying to drive trust, loyalty and differentiation in the market. ","Provide understanding before, during and after various forms of trust-based marketing technologies and programs are deployed.","Collaboration platforms (Slack, Microsoft Teams, etc.), Social Media Management Platforms, Web Analytics, Advocacy Management, Employee,Partner Advocacy, AI, IoT, Big Data.","Enable companies to identify which Trust programs and technologies best can be leveraged to drive productivity internally, and trust with customers and partners."
Customer Experience (CX),Differentiated Customer Experience,Build Loyalty,Customer Rewards & Recognition,Customer rewards are based upon multiple purchases and generally not on the larger impact a customer can have about the perception of a brand. ,ÿProvide customers with additional information and encouragement to continue the relationship,"AI, big data, customer analytics, customer intelligence platforms, dynamic data collection, predictive models, dynamic digital assent management,content placement.","ÿUsing digital technologies, brands can track and measure the impact a customer is having on a brand beyond the transaction and reward that customer appropriately for their impact on the brand. "
Customer Experience (CX),Differentiated Customer Experience,Customer Intelligence,Functional Customer Intelligence,"Information about customers, in the form of data, research, observations, or other formats, gathered through functionally-specific systems or staff, is often incomplete; inconsistent, insecure, and unavailable to the people and systems within that function that need it.","Provide consistent, complete, high-quality, secure, aligned and easily available functionally-specific customer intelligence to the relevant staff and systems when and where it is needed","Functionally-specific, customer-touching systems that are owned by the enterprise including those systems named in all other Digital CX use case families, data management systems. Monitoring, collecting, aggregating, storing, moving, presenting, analyzing of functionally-specific 1st-party information (all types).","Improved decision quality, functional process outcomes, and customer experience through the use of functional customer intelligence"
Customer Experience (CX),Differentiated Customer Experience,Customer Intelligence,Enterprise Customer Intelligence ,"Information about customers, in the form of data, research, observations, or other means, gathered through various systems or staff throughout the enterprise, is often incomplete; inconsistent, insecure, unintegrated and unavailable to the people and systems that need it.","Provide consistent, complete, high-quality, secure, integrated, aligned enterprise and easily available (multi-function) customer intelligence to the relevant staff and systems when and where it is needed ","All of the technology above, plus additional enterprise systems of record containing customer information, data integration technology, processes are the same as in Functional Customer Intelligence but exp,ed with greater breadth of 1st-party intelligence,people who need access","Improved decision quality, functional process outcomes, and customer experience through the use of enterprise customer intelligence"
Customer Experience (CX),Differentiated Customer Experience,Customer Intelligence,360 Degree Customer intelligence,"Information about customers, in the form of data, research, observations, or other means, gathered through sources outside the enterprise, is often incomplete; inconsistent, insecure, unintegrated, and unavailable to the people and systems that need it.","Provide consistent, complete, high-quality, secure, integrated, aligned and easily available customer intelligence from combined external and enterprise sources to the relevant staff and systems when and where it is needed","All of the technology above, plus technology capable of monitoring, importing, federating, or otherwise accessing customer information from the external eco-system (1st party intelligence produced on behalf of the enterprise as well as 2nd,3rd party intelligence), processes are the same as in Enterprise Customer Intelligence but exp,ed with greater breadth of 1st, 2nd, 3rd party intelligence,people who need access.","Improved decision quality, functional process outcomes, and customer experience through the use of customer intelligence from external and enterprise sources"
Engineering and R&D,Digital Innovation Acceleration,Product Innovation Platform,Data unification and Federation,"Product data and information exists in multiple siloes within organizations, and is not easily cleansed, unified, and presented to the extended, global engineering/R&D team.  The growth of connected products and processes adds to this complexity, and need to evolve.","Bring all related internal and external product data together into a single system to enable faster collaboration and time to market, and more successful and profitable products.","Hardware: Servers, storage, IoT, smartphones, tablets                                                             Software: PLM, ERP, CRM, MES, SLM, Cognitive/AI, BDA                                                                   Services:  IT services","Multiple sets of data are unified and made accessible to a global, multi-domain innovation team, at an overall executive, project/program level, as well as within the context of each member of the engineering/R&D team."
Engineering and R&D,Digital Innovation Acceleration,Product Innovation Platform,Collaborative Development,"Collaboration is ad hoc at best, only when necessary internally and externally. Innovation funnels are used by about half of companies, but true multi-functional collaboration is the exception.","The objectives are better customer requirements satisfaction, lower costs, fast fail for unpromising ideation, greater right first time, consistently high quality.","Hardware: Servers, storage, IoT, smartphones, tablets, wearables                                                             Software: Cloud, Social, CAD, CAM, CAE, PLM, ERP, Office tools, security                                                                    Services:  Business services, IT services","A collaborative science-driven product innovation platform across the internal/external team with access to historic and current data in order to leverage internal and external knowledge, conduct analytics, avoid the mistakes of the past, and align efforts around organizational strategic objectives in order to deliver sustained innovation excellence."
Engineering and R&D,Digital Innovation Acceleration,Product Innovation Platform,Crowdsourced application/product innovation,"Few organizations leverage internal external resources consistently for new product development, engineering, and R&D, choosing to keep decision making at the workgroup level vs. challenging the crowd (internal and external to the company) to contribute to innovation.","Enhance the sphere of ideation influence and team that engineering and R&D has to support NPI, or product changes.","Hardware: AR/VR, smartphones, tablets, wearables                                                             Software: Cloud, CAD, CAE, PLM, PPM ideation, social, blockchain, security                                                                 Services:  Business services, IT services",R&D/Engineering are consistently leveraging the wisdom of the crowd as part of development to solve problems and innovate processes and products.
Engineering and R&D,Digital Innovation Acceleration,Product Life-Cycle Economics,Product Portfolio Optimization,Product portfolios are generally micro-managed by product managers without a great deal of holistic oversight.,Improve profitability and SKU gross margin by ongoing balancing of the product portfolio.,"Hardware: Servers, storage, smartphones, tablets, IoT, wearables                                                             Software: Cloud, CAD, PLM, PPM, ERP, BDA                                                                    Services:  Business services, IT services","Tools informed by material and supplier costing information, as well as real time sales and consumption to evaluate optimal portfolio as market moves to digital and personalization, Product portfolios evolve, customer demand and business goals constantly change.  Ideation is connected to PPM, and PLM."
Engineering and R&D,Digital Innovation Acceleration,Product Life-Cycle Economics,Extended S&OP,"S&OP is an often insular process that fails to adequately understand granular demand, broader supply and the constraints of constituents beyond the narrow definitions of demand and supply balancing.  It is disconnected from the product planning, R&D, and development process.","Engage ALL planning constituents, both inside and outside the enterprise, work together in a timely and productive way to both ensure that existing plans are viable, and to understand future opportunities and demand to recalibrate plans, and understand the impact on engineering & R&D.  Make demand planning information availble during product planning, roadmapping, and design.","Hardware: Servers, storage, IoT, smartphones, tablets                                                             Software: CAD, PLM, ERP, SCP, MES                                                                   Services:  Business services, IT services","Modern, cloud-based tools integrated to instrumented inputs across a broad and diverse set of connected constituents. Rapid iteration of plans and scenarios with next-gen optimization capabilities.  Understanding demand and supply capabilities concurrently enables holistic modeling at the front end of innovation."
Engineering and R&D,Digital Innovation Acceleration,Product Life-Cycle Economics,Case Based Learning,Very little informed feedback analysis on engineering & R&D performance beyond scorecards/dashboards. Product performance is disconnected from product development and business goals.,"Higher levels of design effectiveness, focused innovation, low cost of product quality, and higher customer satisfaction.","Hardware: Servers, storage, IoT, smartphones, tablets                                                             Software: CAD, PLM, ERP, BDA, Cognitive/AI                                                                    Services:  Business services, IT services","Ability to capture engineering & R&D actions and outcomes to better evaluate performance and to suggest courses of action based on past results.  Understanding ongoing performance and usage of products informs the design and development process, leading to a better initial and ongoing customer experience."
Engineering and R&D,Digital Innovation Acceleration,Product as a Service,"Remote, Predictive Management","Product and asset condition is monitored, but data is not collected to build a model that can be used to predict performance.","Proactive service and maintenance, including upsell of add-on services.","Hardware: Servers, storage, IoT, smartphones, tablets                                                             Software: PLM, ERP, SLM (service planning & execution), BDA, Cognitive/AI                                                                    Services:  Connectivity services, IT services","The ability to see product performance in real time, build a historical view of assets and products, and predict quality issues is in place.  Digital twins are used to visually monitor these assets and products, as well as view historical and predict future performance."
Engineering and R&D,Digital Innovation Acceleration,Product as a Service,Augmented Service Execution,"Most assisted maintenance involves documented work instructions, but little is directly integrated into maintenance technician tooling.","Lower time and cost to repair, longer mean time between failure (MTBF) and higher first-time fix (FTF) rates, and lower factory downtime.  A digital ""bridge"" between engineering/R&D, manufacturing, and service is established.","Hardware: Servers, storage, IoT, smartphones, tablets, 3D Printing                                                          Software: Cloud, CAD, PLM, ERP, SLM (service planning & execution                                                                    Services:  Business services, IT services","The use of augmented and virtual reality provides maintenance technicians with relevant information, training and guided work instructions, enabling collaborative service delivery with engineering or R&D."
Engineering and R&D,Digital Innovation Acceleration,Product as a Service,Design for Data Monetization,"IoT data capture from products and assets to understand performance, usage, and potential monetization opportunity is not automated and cohesive.","Design products that track and capture performance and usage, and provide users an easy way to communicate feedback to product owners that could lead to monetization.","Hardware: AR/VR, Servers, storage, IoT, smartphones, tablets                                                            Software: CAD, PLM, ERP, SCP, BDA, Cognitive/AI                                                                 Services:  Business services, Connectivity services, IT services","Products are designed to easily capture data and communicate to engineering & R&D, to optimize monetization."
Engineering and R&D,Digital Innovation Acceleration,Dynamic Life-Cycle Intelligence,Lifetime Product Performance,"The lifecycle of products is not managed holistically and iteratively, thus lifetime product profitability is not maximized.",Maximize lifetime profitability in the context of both product and overall portfolio.,"Hardware: Servers, storage, IoT, smartphones, tablets                                                             Software: PLM, ERP, CRM, BDA,security                                                            Services:  Business services, IT services","There will be the ability to capture pan lifetime data and identify, both reactively and proactively, the optimal point at which a product should be launched and when it should be retired. Data trumps debate. Engineering/R&D are tied into product lifecycle performance & commercialization data for iterative product and service optimization."
Engineering and R&D,Digital Innovation Acceleration,Dynamic Life-Cycle Intelligence,Manufacturing & Service Intelligence,Engineering & R&D usually maintains a repository of specifications including quality standards. The efficacy of these specifications is rarely evaluated.,"Visibility of manufacturing & service execution to ensure better alignment of quality standards to customer expectations yields higher customer satisfaction, lower cost of adverse quality, lower product recall cost, and proactive and predictive service delivery.","Hardware: Servers, storage, IoT, smartphones, tablets, Robotics                                                             Software: Cloud, CAD, PLM, ERP, MES, SLM, BDA, Cognitive/AI, security                                                                    Services:  Business services, IT services","Integrated specification repository can adjust robotic and connected quality metrology. There is ongoing case-based learning of the efficacy of quality specifications in meeting customer requirements.  Intelligence and analysis on manufacturing execution quality is embedded in engineering & R&D systems, & there is an open line of feedback from production and field service to R&D/engineering."
Engineering and R&D,Digital Innovation Acceleration,Dynamic Life-Cycle Intelligence,Generative Design,"Engineering and R&D designs and builds products based on a specific set of requirements and instructions from customer, without considering other internal and external data sets.",Augment the engineering and design process with additional options for the engineer or developer to consider during early stages of product development.,"Hardware: AR/VR, servers, storage, IoT, smartphones, tablets                                                            Software: Cloud, Social, CAD, CAM, CAE, PLM,  BDA, Cognitive/AI                                                                 Services:  Business services, Connectivity services, IT services","A machine learning algorithm is applied to IoT, manufacturing, service, demand data to provide advanced options for the engineering & R&D teams during product design, planning, and development.  Customer, market, supply chain, manufacturing, and service data elements are considered."
Engineering and R&D,Digital Innovation Acceleration,Smart Products and Processes,Model-Based Design,"While most design environments are model based, they are file driven for individual drawings and simulations.","The objectives are higher levels of design effectiveness, faster time to market, and lower engineering change costs.","Hardware: Servers, storage, IoT, smartphones, tablets, AR/VR                                                             Software: Cloud, CAD, CAM, CAE, PLM, ERP                                                                Services:  Business services, IT services","A true integrated model or digital twin of every item will be designed, produced, and maintained by the company.  Complex, systems driven products will leverage a model based approach encompassing requirements & validation enabling multi-physics/multi-scale simulation."
Engineering and R&D,Digital Innovation Acceleration,Smart Products and Processes,Advanced Digital Simulation,"Simulations are generally done in batch and without good fidelity to system engineering concepts, inclusive of manufacturing processes.","The objectives are higher levels of design effectiveness, better customer requirements satisfaction, lower engineering change costs, multi-physics and multi-scale simulations, and greater manufacturing efficiency.","Hardware: AR/VR, Servers, storage, IoT, smartphones, tablets                                                             Software: Cloud, CAD, CAM, CAE, PLM, security                                                                   Services:  Business services, IT services","Simulation will be tightly integrated with the model and with awareness of the codependencies between mechanical, electrical, and software engineering. Manufacturing processes for discrete and process manufacturers will be simulated and validated prior to production, to ensure initial and ongoing product performance and quality.  Simulation is multi-physics and multi-scale."
Engineering and R&D,Digital Innovation Acceleration,Smart Products and Processes,Digital Twins,Product and asset models exist only in engineering and R&D workgroups and are not used beyond the initial ideation and development phases.,"Use visualization and simulation to share product and asset model details at varying levels with an extended development team, as well as to manage and operate these models while they are being used.","Hardware: Servers, storage, IoT, smartphones, tablets                                                             Software: Cloud, CAD, CAM, CAE PLM, ERP, security                                                                    Services:  Business services, Connectivity services, IT services","Digital twins of all smart products and assets and their interrelationship are used during initial design, visualization, operation, and improvement.  From early stage ideation, through development, collaboration, and operation."
Engineering and R&D,Digital Innovation Acceleration,Enterprise Quality and Compliance,Real-time Regulatory Compliance,"Risk and compliance is actively managed, yet is a cumbersome and largely manual process.",Streamline the knowledge base and process of managing risk and compliance to reduce the cost and impacts associated with disruption and non-compliance,"Hardware: Servers, smartphones, tablets                                                             Software: Cloud, Cloud, QM (quality mgmt.), PLM, ERP                                                                   Services:  Business services, IT services","Digitally connect to updated compliance information during the engineering and R&D process, allowing for reduced time to market and reduced risk of non-compliance, to ensure product requirements correctly meet perpetually changing regulatory requirements."
Engineering and R&D,Digital Innovation Acceleration,Enterprise Quality and Compliance,Cognitive Root Cause,"Independent tools perform root cause analysis of defect data, and are not well integrated with in-line quality management systems.","Better error proofing lowers the overall cost of adverse quality, particularly repeat errors.","Hardware: Smartphones, tablets, IoT                                                            Software: Cloud, PLM, Cognitive/AI, BDA, MES, EAM                                                                 Services:  Business services, IT services",Connected quality data feeds an analytic model that can support automated Six Sigma analysis of quality anomalies with the ability to adjust processes in an automated way. This quality analysis is integrated back to enginering & R&D for necessary changes.
Engineering and R&D,Digital Innovation Acceleration,Enterprise Quality and Compliance,Agile Application Lifecycle Delivery,"The application development and lifecycle management process is disconnected from the product lifecycle, leading to slow software update delivery and options to customers.","Rapid, constant delivery of applications to connected products to maintain high levels of quality and an experience that customers continue to come back to.","Hardware: Servers, storage, IoT, smartphones, tablets                                                             Software: CAD, CAE, ALM (application lifecycle mgmt.), PLM, ERP, Cognitive, AI                                                                    Services:  Business services, IT services","Manufacturers ensure high levels of software quality and reliability, and flexible delivery of new applications to improve user experience."
Engineering and R&D,Digital Innovation Acceleration,Ecosystem Orchestration,Open Innovation,"80% of new products fail in the marketplace, despite being validated with focus groups. Most companies judge their innovation funnel to be under-populated.",Increase the flow of product ideas and innovation and improve the success rate of new products and product improvements.,"Hardware: AR/VR, smartphones, tablets, wearables                                                           Software: Cloud, PLM, PPM, ERP, ideation, social                                                                 Services:  Business services, IT services","Connectivity to social communities as 'digital focus groups' to allow for input (direct or indirect) from customers and direct connectivity to suppliers and ecosystem partners to participate in ongoing product ideation. Include social communities of customers with affinity to the brand, as well as connectivity to broader social and crowdsourcing platforms.  "
