Industry,Mission,MissionDescription,Strategic Priorities,Programs,Use Case,Current Situation,Goals and Objectives ,Technology Deployed,Use Case Summary
Healthcare,Value-Based Health,no value,Financial and Clinical Risk Management,Process Optimization,"Fraud, waste, and abuse (FWA)","Outright fraud is difficult to prove or quantify and may affect far less than 10% of total U.S. healthcare. However, it is estimated that up to 25% of healthcare costs are affected by the broader category of fraud, waste, and abuse.
As quickly as payers move through legal and educational means to address FWA, bad actors (frequently physicians) adapt their approaches.",Identify fraudulent schemes and actors promptly to serve as both a deterrent and a means of reducing overall losses.,"Predictive software tools, improved workflow processes, and automated outreach to medical providers and patients/members that can be used to identify schemes, likely sources of waste, or abuse","Bad actors have reduced the itemized amounts of FWA-related claims but increased their frequency to evade detection. This has increased the need for software and processes that can process huge quantities of claims and other data using sophisticated search techniques, especially to process data to verify and track the histories and current activities of hundreds of thousands of physicians and organizations in real time."
Healthcare,Value-Based Health,no value,Financial and Clinical Risk Management,Process Optimization,Closing gaps in care,Attempting to close gaps in care outside of the clinical setting is fragmented and does not improve compliance.,Identifying gaps in care as part of a health visit pre-planning process or at the point of care will improve outcomes.,Integration of data that identifies gaps in care with workflow tools routinely used by clinicians,Automating the process of identifying gaps in care and making data available within the clinician workflow will improve compliance.
Healthcare,Value-Based Health,no value,Financial and Clinical Risk Management,Process Optimization,Next-generation EHR platforms,"The pace of industry change, mandatory requirements, and market pressures combined with factors revolving around EHR design, usability, and user experience have presented a significant challenge for most healthcare providers in the form of much dissatisfaction and frustration with the technology overall. This is compelling vendors to build and deploy more user-friendly and intuitive EHR technologies for better end-user experiences.","Alleviate ""by design"" the current deficiencies in human-machine interaction in EHRs.
Improve professional satisfaction through data entry, documentation, and workflow efficiencies.
Reduce work and information overload through intelligent applications of embedded technologies and judicious use of notifications and alerts.","EHRs, integrations with EHRs and portals","Next-generation EHR platforms combine a range of factors, from appropriate design choices to the embedding of innovative technologies, to respond to the needs of healthcare providers and positively impact productivity, experiences, care delivery, and outcomes."
Healthcare,Value-Based Health,no value,Operationalizing Data and Information,Contract and Network Management,Directory accuracy,"In this increasingly litigious, regulated, consumer-focused, competitive, and transparency-demanded payer environment, providing inaccurate and inadequate provider data to consumers is no longer acceptable.","Comply with ACA/HHS/state regulations.
Enable customer satisfaction with provider search.
Enable customer satisfaction with directory accuracy.","Directory search
Provider identity management
Geo-access mapping
Third-party consortiums
Downloadable directories","An agile provider systems of record enables healthcare organizations to respond to fast-changing data, complete with external validation sources."
Healthcare,Value-Based Health,no value,Operationalizing Data and Information,Contract and Network Management,Concurrent value-based reimbursement,"There are independent, uncoordinated payment reimbursement engines executing multiple methodologies in siloed systems.","Create auditable, traceable financial transactions that are reconcilable between fee-for-service (FFS) and fee-for-value (FFV) transactions.","Prospective reimbursement engines
Retrospective reimbursement engines
Reconciliation workflow
Financial subledgers
Groupers
Contract management software
Rating software","Flexible, modular payment engines can administer creative FFS and FFV payment methodologies from contract through claim and payment."
Healthcare,Value-Based Health,no value,Operationalizing Data and Information,Contract and Network Management,Network adequacy,There is increasing pressure to prove provider network adequacy to consumers and regulatory bodies.,"Comply with ACA/HHS/state compliance regulations.
Enable customer satisfaction with provider network adequacy.","Network penetration software
Provider risk analysis analytics
Geo-access mapping
Provider network adequacy analytics
Census/geotract data","An agile provider systems of record enables healthcare organizations to respond to fast-changing data, complete with external validation sources."
Healthcare,Value-Based Health,no value,Operationalizing Data and Information,Contract and Network Management,Contract management,Text-based documents with unstructured terms and conditions are prevalent.,"Respond to creation of contracts, networks, and affiliations fast.
Respond to value-based reimbursement concepts such as bundles and pay for performance.","Network penetration software
Provider risk analysis analytics
Geo-access mapping
Provider network adequacy analytics
Census/geotract data","An agile contract management system provides real competitive advantage for payers by enabling bundles and other FFV reimbursement methodologies, network flexibility, and creative contracting."
Healthcare,Value-Based Health,no value,Operationalizing Data and Information,Contract and Network Management,Smart contracts (blockchain),Smart contracts built using blockchain technology is in the nascent stage with only a few innovative healthcare organizations initiating proof of concept projects.,"Create new transaction models to improve provider contracting and claims adjudication.
Reduce costs and improve transaction security.
Achieve real-time adjudication.","Distributed ledger technology
Private ledgers
Smart contracts (which are a combination of blockchain DLT, legal code, and programming code)",Smart contracts using blockchain technology will ultimately evolve from proof of concept projects developed by healthcare organizations to being incorporated into solutions provided by independent software vendors (ISVs) to provide more robust contracting capabilities.
Healthcare,Value-Based Health,no value,Operationalizing Data and Information,Contract and Network Management,Smart claims payments (blockchain),Smart claims payments built using blockchain technology is in the nascent stage with only a few innovative healthcare organizations initiating proof of concept projects.,"Create new transaction models to improve provider contracting and claims adjudication.
Reduce costs and improve transaction security.
Achieve real-time adjudication.","Distributed ledger technology
Private ledgers
Smart contracts (which are a combination of blockchain DLT, legal code, and programming code)",Smart claims payments using blockchain technology will ultimately evolve from proof of concept projects developed by healthcare organizations to being incorporated into solutions provided by ISVs to provide more robust payment and payment reconciliation capabilities.
Healthcare,Value-Based Health,no value,Customer Centricity,Patient of One,Coordinated consumer transactions,"There are fragmented operations, data, and consumer experience.","Integrate data and common consumer experience in sales channels, enrollment portals, service desks, marketing campaigns, claims adjudication and appeal, and all health management cases.","CRM (sales, service, marketing, and health)
Member/patient identity management
Enterprise master person index
Master data management
Interactive voice response",There is a comprehensive patient/consumer approach to managing interactions with consumers along the various touch points of a member or patient's journey.
Healthcare,Value-Based Health,no value,Customer Centricity,Patient of One,Continuous segmentation,There is yearly or campaign-based segmentation on administrative data.,Utilize real-time actionable advice based on comprehensive continuous segmentation of risk and probable next consumer/patient next step.,"Campaign management
Marketing
Population analytics
Big data segmentation
Third-party data sources","The comprehensive approach gives fast, actionable advice based on ubiquitous data capture and continuous patient/consumer segmentation based on patient, member, and event encounters."
Healthcare,Value-Based Health,no value,Customer Centricity,Patient of One,Independent product/plan configurators,"There are document- and spreadsheet-based, hierarchical, inflexible processes and systems to manage the product life cycle.",Manage the entire product life cycle from ideation through filing with one malleable workflow.,"Product configuration software
Workflow software
Master data management","Agile product systems of record management enable coordinated, fast product speed to market across multiple departmental and external workflows to enable products specified to the individual member."
Healthcare,Value-Based Health,no value,Customer Centricity,Patient of One,Robotic process automation customer service,Customer service representatives and systems are challenged by unintegrated data and/or poorly presented data about customers/patients and their clinical or financial status and needs.,Integrate and automate presentation of customer and patient data in real time. Intelligent linkages with workflow coordinate interactions with customers/patients across different departments and business units.,"Robotic process automation (RPA)
Decision workflows triggered by robotic scripts
Dynamic reporting between systems across the enterprise","RPA-based customer service speeds access to a holistic view of customer and patient status and needs. It enables customer service representatives and care service managers to speed work, improve impact, and improve quality."
Healthcare,Value-Based Health,no value,Customer Centricity,Patient of One,Open access scheduling and payment,"Clinical scheduling needs are unpredictable and consumers increasingly want to be able to directly book and request an appointment as well as make changes using convenient methods and online tools, particularly in outpatient settings. They also would like to handle payment directly.","Provides convenient scheduling and payment options.
Attracts new (and guides existing) patients to open appointment slots.
Improves consumer decision making on providers and availability based on the information made available by these tools.
Improves patient visit productivity, cash flow, and continuity of care.","EHR and integrations between EHRs and scheduling tools, if non-tethered
Patient-facing portals, websites, and mobile apps
Cloud
Industry-approved payment mechanisms","Open access scheduling enables consumers to directly schedule an appointment using online tools that address the increasing demand for convenient booking options. This value of open access scheduling and payment is mostly realized through its impact on timely access to care, revenue optimization, quality of care, and patient experience."
Insurance,Contextual and Value-Centric Insurance,no value,Omni-Experience Engagement,Omni-Channel Delivery of Products and Services,Mobile channel for customers,"Many insurance organizations offer mobile applications for quotes, policy adjustments, product marketing, claims first notice of loss (FNOL), and claims status tracking.The channel is yet to see the success it deserves due to lack of a fully interactive experience. Many apps still operate on static data and menus as well as fail to meet customer expectations on the channel.","Offer a highly personalized, simple, and contextual mobile experience (for example, based on the customer's life events or geolocation). Provide instant access to relevant information and consistent marketing and service experiences across different kinds of mobile devices. Provide stronger authentication to alleviate security concerns.","Mobile technologies, Cloud, Next-gen security, Biometric customer authentication, Geolocation technologies, Multimedia capabilities Advanced analytics",Complement existing touchpoints such as online or call center with a customer-centric mobile channel that will help meet customer expectations to engage with insurance organizations through their channel of choice.
Insurance,Contextual and Value-Centric Insurance,no value,Omni-Experience Engagement,Omni-Channel Delivery of Products and Services,Business on the move for sales force,"? Influenced by the digital advances in other industries, insurance sales and distribution teams today want to associate with carriers who are easy to do business with. ? The systems and processes of large incumbents often hinder straightthrough processing due to lack of relevant information about customer needs and preferences, integration issues, and paper-based business.",Place adequate emphasis on enterprise mobility while progressing with customercentric initiatives. Ensure end-to-end integration of mobile apps with systems and processes to avoid bottlenecks. ? Provide relevant and contextual data and insights to help position products that cater to customer's unique requirements,"Mobile technologies, Cloud, Next-gen security, Advanced analytics","Empower sales and distribution teams to do business ""anytime, anywhere"" in a collaborative, secure, seamless, and flexible manner by placing adequate emphasis on enterprise mobility. ? Build an environment of trust, loyalty, and true partnership by enabling sales teams to succeed in their interactions with customers."
Insurance,Contextual and Value-Centric Insurance,no value,Omni-Experience Engagement,Omni-Channel Delivery of Products and Services,Virtual and augmented connect,"Customers are increasingly looking for new ways to digitally interact with insurance organizations beyond traditional channels. ? They are often frustrated with long waiting times in call centers to find the status of a claim or policy process, can't reach a claims handler or agent out of hours, or can't find answers to unique queries in online FAQs.","Employ 24 x 7 virtual and augmented connect to provide personalized, human-like interactive experience and contextual information on products or services to customers. Free up human resources for more value-added tasks by letting machines handle repetitive queries.","Advanced analytics, Integrated, secure, AI-enabled connect (chatbots) through different channels that can identify speech patterns and interpret verbal and non-verbal hints to deliver communication via text or voice.  Integration with existing messenger platform and enhancements to suit needs of specific customer segments. Next-gen security","Like mobile, virtual and augmented connect can be an effective touchpoint for customer connect that particularly meets the needs of specific segments (e.g., millennials). ? Use it to complement existing channels with an option to seamlessly switch to other channels when the customers want to."
Insurance,Contextual and Value-Centric Insurance,no value,Omni-Experience Engagement,Omni-Channel Delivery of Products and Services,Intelligent customer onboarding,"The interface and design experiences with digital natives are influencing insurance customers too. ? They expect a combination of multiple channels and want interactions to be quick, simple, and seamless. ? New, specialized digital players can meet this expectation through agile technology and nimble business models, posing a threat to incumbents.","? Implement a simple technologydriven onboarding process powered by structured and unstructured data from different sources to reduce the number of data points to be collected for verification, risk assessment, and pricing. ? Leverage the opportunity to collect all the data possible from the customer without being intrusive so that other business functions and processes can benefit from this.","Advanced analytics ? Next-gen security ? Biometric customer authentication ? Application programming interfaces (APIs) to connect with multiple external data sources (weather, property, etc.) ? Enterprise omniexperience data architecture ? Cognitive technologies ? Robotic process automation (RPA)",? Implement a fully automated frictionless customer onboarding process to create a great first impression. ? Reduce the overall onboarding time to avoid frustration.
Insurance,Contextual and Value-Centric Insurance,no value,Omni-Experience Engagement,Customer-Driven Product and Service Innovation,Insurance for on-demand economies,"Traditional insurance products that cover everything, every time don't meet the requirements of certain customer segments (e.g., millennials). ? These customers are keen to insure specific risks at specific times (i.e.; when they want it ? like a car only when it is being driven, a home only when it is occupied, or travel insurance at the exact point of purchase of an air ticket)","Partner with the right technology vendors or startups to launch simple, easy-tounderstand, shortor micro-duration insurance products quickly to the market to satisfy the risk coverage needs for unique short-term circumstances. Ensure consistent experiences across the customer journey across different kinds of mobile devices.  Introduce text- and voice-enabled bots to enhance the experience.","Mobile technologies ? real-time smartphone-appbased coverage switch on and switch off, Internet of Things (IoT), Cognitive technologies ? inapp chatbots for voice or text chats, Cloud,  Advanced analytics, Next-gen security ? digital identity verification and network verification techniques using blockchain","Launch customercentric, ondemand products that meet unique needs and changing lifestyles in the digital era. ? Broaden the coverage beyond pay-as-you-use car insurance to cover personal belongings (such as mobile phones, bicycles, jewelry, and sports equipment), which may also encourage more underinsured classes to buy risk coverage."
Insurance,Contextual and Value-Centric Insurance,no value,Omni-Experience Engagement,Customer-Driven Product and Service Innovation,Insurance for sharing economies,"Sharing economy represents sharing of cars, logistics, accommodation, or parking spaces triggered by companies such as Uber and Airbnb and driven by millennials. ? Commercial insurance products are yet to cater fully to the coverage for the ""shared usage"" of assets and leave the hosts with huge coverage gaps.","Partner with the right technology vendors or insurtechs to establish a platform to enable hosts to apply for simple, easy-tounderstand insurance coverage for each sharing use. Ensure consistent experiences across the customer journey across different kinds of mobile devices and channels.","Mobile technologies, IoT, Cognitive technologies, Cloud, Advanced analytics, Next-gen security",Adapt to the needs of a changing marketplace by offering products for the sharing economy and addressing existing liability coverage gaps.
Insurance,Contextual and Value-Centric Insurance,no value,Omni-Experience Engagement,Customer-Driven Product and Service Innovation,Insurance for connected ecosystems ? cyber,"This has huge market potential owing to the scale and magnitude of cybersecurity breaches. ? Current products are characterized by inadequate coverage, high premiums, too many exclusions, restrictions, and uninsurable risks. ? Factors such as lack of historical data, lack of understanding of qualitative and quantitative nature of the everevolving risk, and uncertainty about the extent of financial impact hinder market expansion.","Leverage the power of internal and external data (data collation initiatives by governments, associations such as ABI and NAIC, reinsurance companies) to effectively select and price risks. Use available tools and technologies that are slowly but surely evolving in the cyber-risk exposure monitoring, analysis, and assessment space to offer innovative coverage and address current gaps","Big Data, Advanced analytics, Cloud,  Cognitive technologies, Next-gen security, Automated underwriting systems",? Exploit the huge potential of the cyber-insurance market in the wake of ever-evolving cyberthreats in the digital and connected world and increased regulatory requirements for businesses across the globe. ? Extend the existing coverage to address gaps to gain confidence among businesses to consider cyberinsurance as one of the key aspects of their cyber-risk management strategies.
Insurance,Contextual and Value-Centric Insurance,no value,Omni-Experience Engagement,Customer-Driven Product and Service Innovation,Insurance for connected ecosystems ? autonomous vehicles,"Autonomous vehicles come with the promise of sustained mobility and fewer accidents due to advanced safety features and avoidance of human errors. ? Autonomous vehicles will challenge the relevance of traditional insurance products, and the biggest question for the insurance industry will be the product vs. personal liability issues.","Design innovative products that leverage the power of data to address specific situations (i.e., whether the vehicle was in autonomous or manual mode during accident, or whether it was parked or being driven to establish liability). Bundle liability coverage with cyber-risk coverage to address the security requirements of connected ecosystems. Build/hire new underwriting and claims handling talent who can tackle new kinds of risks and liability.","Big Data, Advanced analytics, Cloud, Cognitive technologies, Next-gen security, Collaborative clouds, Automated underwriting systems","Prepare the organization to meet the unique insurance coverage requirements of autonomous vehicles. ? Equip the organization for a future that would demand joint responsibility for data by various stakeholders in the insurance ecosystem such as insurers, car manufacturers, repair shops, and law firms to offer great insurance experiences for the owners and users of autonomous vehicles."
Insurance,Contextual and Value-Centric Insurance,no value,Omni-Experience Engagement,Targeted Marketing and Communication,Contextual customer engagement across policy life cycle,"Legacy systems of incumbents do not support the integration of internal and external data to present customer behavior and buying patterns in a way that is actionable for meaningful and relevant engagement. ? Siloed approach restricted to lineof-business, local, or even department level exists that hinder the delivery of consistent marketing messages. ? There is also a lack of customer touch points as many organizations still rely on traditional channels. ? Country-/regionspecific regulations around data and communication also pose challenges","Harness data obtained for quote, underwriting, pricing, and claims for personalized and event-based targeted marketing and customer communications. Harness data from various external sources (such as public databases, weather or property data, and sensor-generated data) and apply analytics to deliver contextual, predictive communication for individual customers through multiple channels. Leverage partnerships with other industries such as banking or retail to expand the customer outreach. Enable crossselling and upselling by effective management of content and processes across different departments.","Omni-channel architecture, 24 x 7 customer connect, Data lake that supports internal and external structured as well as unstructured data sources, Single data management architecture that includes data integration, data quality management, master data management, and data security, Advanced analytics to drive segmentation, targeted marketing and social media campaigns, Cognitive technologies, Feedback mechanism to monitor and measure marketing performance (e.g., Net Promoter Score or NPS)","Implement an omni-channel marketing and customer communications strategy to ensure contextual, personalized, and meaningful interactions across the customer journey beyond traditional touch points (quote, sales, renewal, or claims) to build long lasting relationships and brand loyalty"
Insurance,Contextual and Value-Centric Insurance,no value,Omni-Experience Engagement,Targeted Marketing and Communication,Customer journey mapping,"Expectations for speed, convenience, transparency, and personalized engagement are not often met with the current convoluted processes within insurance customer journeys of traditional insurance organizations. ? The current customer journeys need to align with the shifts in customer demographics, behavior, and expectations as well as market dynamics.","Map out the business processes in detail to identify bottlenecks across different lines of business with a customer-centric approach and mindset. Undertake a complete redesign of the customer journey involving fully automated customer onboarding, highly optimized straightthrough processes, and customer communications through the channel of choice with a view to create unique personalized experiences.",Advanced business process management tools,Map out customer journeys across different insurance lines of business in preparation for digitally transforming the customer journeys to align with the shifts in customer expectations and market dynamics.
Insurance,Contextual and Value-Centric Insurance,no value,Usage- and Value-Oriented Offerings,Usage-Based Insurance,Usage-based insurance ? vehicles,"The product holds great potential, but many insurance organizations consider UBI enabled by IoT as just another product offering to meet customer expectations. ? Initiatives are mostly discrete and tactical ? data is not being analyzed effectively to enable great experiences or generate new revenue streams. ? All customer segments are not convinced about the value they receive in return for the data being shared with the insurance organizations.",Invest in analytics and cognitive technologies to leverage the power of telematics data to draw valuable and actionable insights and convert UBI to a key enabler to digitally transform experiences. ? Adopt an integrated strategy that covers product and risk management to improve adoption across customer segments. ? Work with niche technology players that can effectively merge data analytics with the policy holder's risk exposures as well as other partners in the wider ecosystem to maximize the benefits.,? IoT ? Big Data ? Mobile technologies ? Cloud ? Advanced analytics ? Cognitive technologies ? Next-gen security,Offer a vehicle insurance product that relies on realworld data such as individual and current driving behavior rather than actuarial studies of aggregated historical data to determine premium pricing. ? Improve customer experience through more accurate pricing based on individual risks and enable loss prevention and reduction in fraudulent claims with real-time monitoring and tracking.
Insurance,Contextual and Value-Centric Insurance,no value,Usage- and Value-Oriented Offerings,Usage-Based Insurance,Usage-based insurance ? homes,UBI for homes enabled by IoT has not yet reached the same levels of adoption as UBI for vehicles. ? The initial success of UBI for vehicles is encouraging some organizations to build UBI for smart or connected homes.,Leverage sensorbased technologies to deliver great propositions involving risk prevention and tailored pricing. ? Leverage data from sensors installed at home to develop algorithms to predict and identify risks effectively using advanced analytics.,"IoT ? 24 x 7 monitoring (using cloud-connected cameras, smoke detectors and moisture sensors) ? Big Data ? Mobile technologies ? Cloud ? Advanced analytics ? Cognitive technologies ? Next-gen security","Offer a home or renters insurance product that relies on real-world data such as safe habits in using a home rather than actuarial studies of aggregated historical data to determine premium pricing. ? Invest in a partnership ecosystem of real estate companies, smart device manufacturers, home assistance services, and security providers to maximize the benefits."
Insurance,Contextual and Value-Centric Insurance,no value,Usage- and Value-Oriented Offerings,Usage-Based Insurance,Usage-based insurance ? individuals,A personal insurance model in which the insured gets rewarded for a healthier lifestyle and the insurance organization gets benefits as its customers live longer and healthier is proving to be a win-win for both parties involved based on some market examples. ? There is an increase in the number of consumers who are willing to use wearables and share the results with an insurance organization in return for financial rewards for healthy behavior,"Leverage sensorbased technologies (wearables) to deliver simple, easy-to-use, great propositions involving risk prevention and tailored pricing, personalized wellness programs for customers based on their lifestyle, habits, and behavior. Invest in a partnership ecosystem of healthcare providers, social media, gymnasiums, retailers, and mobile service providers to maximize the benefits.","IoT, Big Data, Mobile technologies, Social, Cloud, Advanced analytics,  Cognitive technologies, Next-gen security","Offer a life or health insurance product that relies on real-world data on lifestyle, habits, and behavior rather than just actuarial studies of aggregated historical data to determine premium pricing for individual customers. Offer rewards, promotion offers, and premium savings for leading a healthy lifestyle ? healthy activity, regular exercise, and regular checkups to establish regular connections with customers and build greater brand affinity."
Insurance,Contextual and Value-Centric Insurance,no value,Usage- and Value-Oriented Offerings,Preventative Insurance,Evidence-based loss prevention ? vehicles,"There is a rise in high-frequency and/or highseverity claims due to increased vehicle population. ? Sensor-based technologies are used to collect data for more accurate premium pricing or launch products for sharing economies, but many insurance organizations are yet to extend the use case further to proactively manage risks and prevent losses due to irresponsible driving behavior.","Leverage telematics data to monitor distracted driving and driving patterns (harsh braking, speeding, mobile phone usage, miles driven, trip tracking) to educate drivers about adverse behavior and encourage them to change to improve premium ratings and safety. Provide advance warnings (weather, road conditions, location alerts around theft or accident frequency) through smartphone apps or virtual connect to proactively mitigate losses.","IoT (standalone or embedded sensors), Big Data, Mobile technologies, Cloud,  Advanced analytics, Cognitive technologies, Next-gen security","Use sensor-based technologies to enable loss prevention in automobile insurance through real-time monitoring, tracking and offering timely advice."
Insurance,Contextual and Value-Centric Insurance,no value,Usage- and Value-Oriented Offerings,Preventative Insurance,Evidence-based loss prevention ? homes,"Sensor-based technologies are used to collect data for more accurate premium pricing or launch products for sharing economies, but many insurance organizations are yet to extend the use case further to proactively manage risks and prevent losses due to irresponsible use of homes/rental abodes. ? There is also an opportunity to leverage the technology to expedite the claims processes (e.g., in catastrophic situations) to avoid further damage.","Leverage sensorbased technologies to monitor activities when the inhabitants are present or away and track the condition of the property to prevent accidental damage or damage due to human or environmental factors. Rely on evidencebased loss prevention models to provide proactive warnings and safety tips as well as protect lives and property ? Manage risks and costs of theft, water, fire, and appliances issues.","IoT, Big Data ? Mobile technologies, Cloud, Advanced analytics, Cognitive technologies, Next-gen security","Use sensor-based technologies to enable loss prevention or loss reduction in home insurance through real-time monitoring, tracking, and offering timely warnings. Reduce the frequency and severity of claims losses with the aid of data or evidence from the sensors."
Insurance,Contextual and Value-Centric Insurance,no value,Usage- and Value-Oriented Offerings,Preventative Insurance,Evidence-based loss prevention ? businesses,"There are a few commercial insurers and reinsurers that support the use of IoT devices and wearables to monitor internal safety hazards, employee errors, and environmental changes in factories and workplaces to prevent accidents and curb fraudulent claims. ? It is anticipated that more insurance organizations will support the model in the coming years for both financial benefits and to improve customer retention and loyalty.","Leverage sensorbased technologies to monitor the activities in factories or business establishments, or track the condition of the property or cargo to prevent accidental damage or damage due to human or environmental factors. Rely on evidencebased loss prevention models to provide advanced warnings, protect lives and property, and reduce business interruption.","IoT, wearables, Big Data, Mobile technologies, Cloud, Advanced analytics, Cognitive technologies, Next-gen security","Use sensor-based technologies to enable loss prevention in commercial property through real-time monitoring, tracking, and offering timely advice to prevent loss."
