UseCase,CurrentSituation,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,-,-,-,-,
"Customer assistance, loyalty, and infotainment services",Traditional insurance products address very specific coverage needs and price the products based on the risks associated. ? Today's customers expect value beyond standard coverage to stay loyal to insurance organizations while also expecting valueadded offerings to be tailored to their unique personal needs and circumstances,IoT,API architecture,Big Data,Mobile technologies,Cloud,Advanced analytics,Cognitive technologies,Next-gen security,-,-,-,-,-,-,-,-,-,-,
Smart policy admin,One of the biggest challenges faced by organizations that want to engage with customers through digital channels is the legacy systems that are not designed to support the integration of internal and external data for quick decision making and agile processing. ? Many still grapple with age-old policy admin systems that are highly inflexible and hinder quick- transparent- and easy access to data to offer contextual services.,Modern cloudenabled policy administration system,Channel ,systems integration framework ,Open architecture/standards ,Modern APIs ,app development frameworks,-,-,-,-,-,-,-,-,-,-,-,-,
Smart claims,? Many insurance organizations grapple with ageold claims systems that are highly inflexible and hinder quick- transparent- and easy access to data to offer contextual claims services through different channels and settle claims faster.,Modern cloudenabled claims system ,Channel ,systems integration framework ,Open architecture/standards ,Modern APIs ,app development frameworks,-,-,-,-,-,-,-,-,-,-,-,-,
Intelligent underwriting,Most incumbents understand the need to transform their underwriting function but face gaps between existing capabilities and the risk assessment and risk selection requirements of the digital world. ? They need to redefine existing function and processes to build an underwriting department that is agile- data driven- customer focused- and supports sales in growing and retaining business,Modern underwriting suite that incorporates advanced analytics,predictive modelling tools,cognitive capabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Intelligent channel automation,To meet the customer expectations to engage through different channels- many organizations are investing in omnichannel strategies. ? To ensure the success of their omni-channel initiatives- it is important to invest in automation to improve efficiency- productivity- and quality of service.,Digital distribution platform,RPA,Cognitive capabilities,Advanced analytics,Cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,
Green insurance (paperless business),? Many incumbents operate with both paper and electronic media. ? Those that have adopted paperless business rely on static electronic content that doesn't allow frictionless access to information across different departments or analysis of the content to enable contextual and relevant customer service.,Electronic document management/electronic content management,Business process management,Automated workflow management,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Connected workforce,Digital technologies are providing an opportunity for workforce across various departments- lines of businesses- and geographies to connect better to perform their daily tasks in a collaborative manner. ? Insurance organizations must exploit this to reduce the need to have more physical work spaces- meet the needs of a new age workforce that expects flexible working styles- engage more efficiently with partners- and manage resources smarter.,Digital/agile technology platforms,Enterprise collaboration tools,Cloud (PaaS,IaaS),Integration with risk,governance ,security systems,-,-,-,-,-,-,-,-,-,-,-,
Ecosystem collaboration,? As customers begin to look for value beyond traditional products and services in return for the premiums they pay- insurance organizations are challenged to expand their offerings through ecosystem partnerships despite security- privacy- and interoperability hurdles.,Open architecture/standards,Open APIs,Next-gen security,Governance systems for risk mitigation,Cloud-based app development,API testing platforms,-,-,-,-,-,-,-,-,-,-,-,-,
Cyber-risk management,? As the use of connected networks has become common to do business- insurance (like many other industries) has become vulnerable to cybersecurity threats. ? As the adoption of sensor-based technologies increase to offer insurance products for connected ecosystems- cyberthreats will only increase exponentially in the coming years.,Advanced analytics,Next-gen security,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Telematics enabled fraud management,Insurance organizations largely depend on prebuilt business rules- workflow- and information collected from customers to monitor and detect fraud- which is not an effective way to tackle fraud in the new world of sharing and connected economies.,IoT,Advanced analytics,Cognitive technologies,Cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Cyber-incident response management,Cybercrimes are like financial crimes- incidentally- a lot of financial crimes these days are cybercrimes. ? Most cybercrimes are unveiled when cybersecurity software is installed often days after the crime has occurred and a response process is triggered. ? This is because most organizations focus heavily on data breach protection and not on what they will do if a breach occurs and how they will manage their reputation.,Electronic discovery ,response systems,Network analysis ,pattern analysis tools,Digital forensics,-,-,-,-,-,-,-,-,-,-,-,-,-,
Intelligent regulatory reporting,? Current regulatory reporting relies on internal siloed data sources and is characterized by complex- rulebased models for transaction monitoring- legacy systems- and manual processes- and lack of effective information exchange across departments. ? Current systems and processes are unable to meet the frequent and accurate reporting requirements as expected by regulators.,Advanced analytics,Cloud-enabled regulation as a service solutions,Cognitive capabilities (AI ,machine learning,natural language processing),-,-,-,-,-,-,-,-,-,-,-,-,-,
Dynamic pricing,Traditional pricing models are based on economic and behavioral assumptions- aggregate risk pooling- customer's standard rating factors- and prices set by competition. ? Customers increasingly expect to pay for only what they use- so dynamic pricing models based on an individual's profile- lifestyle- and activities is the need of the hour in the digital world.,Dynamic pricing engine,IoT,Advanced analytics (predictive,contextual),Cognitive capabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,
Insurance data for sale,A few forwardlooking insurers are either planning to or piloting the sale of telematics data to other industries and potentially pass on the savings to their consumers by reducing premiums.,IoT,Cognitive capabilities,Advanced analytics,Cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Drilling optimisation,Drilling is driven heavilly by human insight and experience. The opportunity  is to use data- minerals testing and treatment within the automation to increase returns on investment of time and resources   ,Real time drilling applications,analytics,robotics ,cognitive/AI. ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Geological digitisation platform,Geological data and models are held in pieces by companies- industry orgnaisations and governments.  Much of the data is help in paper form and excel spreadsheets- and  is not easilly integratable ,Analytics,cloud,mobility,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Virtual geophysics,Wasted time and energy on reconciling and identifying databases and following up with exceptions in the data,Data management,geological modelling ,simlutation,communications,collaboration,analytics,cognitive,-,-,-,-,-,-,-,-,-,-,-,
Drone based exploration,Limited visibility of accurate and high cost for engineers and executives to access field data for spend analysis and decision making,Drones,infrared sensors,analytics,communications networks,cloud,mobile.,-,-,-,-,-,-,-,-,-,-,-,-,
Ore intelligence,Interpreting data to provide insight on where to drill next is very complex. Data sets are vast  and include - field mapping data- geochemical surveys- drill hole data- geophysical surveys- geological maps- Landsat imagery- aerial photographs- mine level plans- alteration models- resource model data and reports etc.  .    ,Analytics,cognitive/AI,high powered computing,cloud,mobility,-,-,-,-,-,-,-,-,-,-,-,-,-,
Rapid ore insight,Lab-testing processes to determine ore mineral makeup are disconnected and time consuming. ,Analytics,cognitive/AI,cloud,mobility,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Greenfield mine viability,New mine investment decisions are complex and high risk - decisions require input from datasets across ore body- financial analysis- government land data- mine plans etc. Spreadsheets and assumptions typically core to approaches used.,Analytics,cognitive,digital twin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Ore grade optimisation,The ability to respond to the inherent variability in the ore body is not well developed. Operations and processing are not integrated to enable optimisation.,Cognitive,IoT,BDA,Cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Resource management,Energy management (and the management of other resources) in the mine is primarilly based of backward looking consumption data,Cognitive,IoT,BDA,Cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Operational decision support,Operational decisions depend  heavilly on experience. Very little of the data that is collected is used to support and inform experience- and existing assumptions. Being able to access the right infromation in real time in the right context is critical.,Cognitive,IoT,BDA,Cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Integrated mine planning and execution,Operations are siloed- data is not utilised well outside of and across siloes- operational visibility is very often poor. The ability to control for variability arising through the course of execution of the mine schedule is required.     ,Analytics,control centre,IoT,mobility,Cognitive/AI,data management ,-,-,-,-,-,-,-,-,-,-,-,-,
Operational ecosystem,"Mining companies have a range of external third parties providing equipment and services across equipment- IT- and workforce contracting for example. A limited level of integration exists.
",Cloud,IoT,data management,analytics,mobility,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Collaborative, integrated and automated operations",Operations are heavilly siloed- operational responses are very often manual- ad-hoc and response driven. Excel features heavilly in management of production targets- schedules and delivery. Data is accessed and stored- but utilisation is low. Operational responses are reactive and poorly integrated. Metrics and organisations are structured around siloes. Operations are often not interconected.   ,Analytics,control centre,IoT,mobility,cognitive/AI,robotics,data management,cloud,-,-,-,-,-,-,-,-,-,-,
Digital twin,Simulation of assets within the operation is generally done in an isolated manner and without good fidelity to system engineering concepts. Typically lacks real-time production asset inputs,Cloud (HPC),analytics,AR/VR ,cognitive,sensors ,communications,-,-,-,-,-,-,-,-,-,-,-,-,
Predictive ore optimisation,The ability to predict ore quality from the mine that will feed into processing is limited for most companies.    ,analytics,sensors,cognitive,digital twin,cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,
Digital blending,Blending is undertaken offline - very often utilising huge spreadsheets- requiring specific knowledge and personnel.,Analytics,sensors,cognitive,mobile,cloud,HPC,-,-,-,-,-,-,-,-,-,-,-,-,
Smart processing insight,Processing the raw ore is an art more than a science. Process control system are very often 1 0 or 20 years old. Data is available but not used to inform decision making relating to the operation of the process. ,Analytics,IoT,data management,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Autonomous stockpile management,Stockpile and blending is poorly integrated into the supply chain within the operations of most mining companies. Visiblity of the stockpile- delivery against contracted ore grade commitments and optimisation of revenue is poor. Stockpile management is very often undertaken within spreadsheets.  ,Robotics,analytics,Cognitive/AI,Cloud,IoT,-,-,-,-,-,-,-,-,-,-,-,-,-,
Pit to port optimisation,Planning is typically undertaken in siloes. There is a disconnect between the mine and  logistics operations,Cloud,data management,sensors,IoT,mobility,-,-,-,-,-,-,-,-,-,-,-,-,-,
Supply chain automation,The various elements of a mining supply chain - trains- trucks and ports/shipping - create a great deal of variability within mining supply chains. ,Cloud,IoT,mobility,cognitive/AI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Global trade automation,Some automation exists for regulatory compliance- financial processing and integration with spot markets but is not tightly integrated,Blockchain,industry cloud,mobile ,IoT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Self-healing assets,Any asset issue requires immediate human intervention. That intervention can e slow and sometimes misguidedd. Companies spend a lot of money rolling crews to wrong locations and not getting to the right location until after an outage,Sensors,smart assets,networks,analyticsal tools,data management,cognitive,cloud,-,-,-,-,-,-,-,-,-,-,-,
Asset instrumentation,Some mine site assets have condition reporting through sensors-  but centralised data management is focused on historians,IoT,BDA ,advantaged networking,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Predictive analytics,The most advanced asset management strategies usually involve condition-based monitoring- but there is limited ablity to predict failures,Cognitive,IoT ,mobility,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Augmented maintenance,Most assisted maintenance involves documented work instructions- but little is directly integrated into miantenance technician tooling. ,AR/VR,Cognitive,IoT ,mobile,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Mine process insight,There exists some connectivity to the mine operations through sensors- but the ability to draw actionable insight out of the data generated through this connectivity remains limited,IoT,BDA,advanced networking,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Digital inspection,Fixed and mobile assets are manually inspected using schedules drived from hisotircal failure data. This is manually intensive and includes increased risk of unexpected events in the future.,Sensors,communications networks,cloud,analytics,drones ,machine learning,-,-,-,-,-,-,-,-,-,-,-,-,
Connected safety wear,Very manual process to ensure workers are wearing all safety equipment and clothing for specific tasks.  Includes multiple inspections and documentation.  Enhanced risk that a critical piece of equipment won't be carried.,Cloud,analytics,cognitive,social,Sensors,communications,-,-,-,-,-,-,-,-,-,-,-,-,
Virtual presence,Procedures are heavily dependent on entrance approvals- repetitive training and radio comms.,Cloud,analytics,cognitive,social,Sensors,communications,-,-,-,-,-,-,-,-,-,-,-,-,
Augmented training,Operator- maintenance and other operational training delivered through traditional physical courses- on the job or basic simulation,AV/VR,cloud,IoT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Process condition monitoring,Static baseline against which a process or group of assets is measured for approaching an unsafe condition,In process sensors,communications networks,cloud,analytics,machine learning,-,-,-,-,-,-,-,-,-,-,-,-,-,
Process self inspection,Static baseline against which a process or group of assets is measured for approaching an unsafe condition,In process sensors,communications networks,cloud,analytics,machine learning,-,-,-,-,-,-,-,-,-,-,-,-,-,
Sourcing intelligence,Current best practice looks at aggregate buying volumes with vendors for negotiation.,Cloud,industry cloud,cognitive,blockchain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Supplier network management,Supply position is based on very little data- and best practice is based on batch processing such as EDI.,Cloud,IoT,industry cloud,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Automated kanban,Prevalent Lean practices prescribe that replenishment of raw material be triggered by kanban cards. Best practices introduce some level of automation and integration to procurement systems.,Cognitive,blockchain,IoT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Demand and consumption signal processing,While common in consumer value chains- automated feeds of actual demand are rare in this value chain.,Cloud,IoT,mobile,industry cloud,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Inventory intelligence,Inventory levels are determined by a series of accounting transactions- and inventory levels are set by optimization algorithms that are run only periodically.,Cloud,IoT,BDA,cognitive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
